;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Ciudad Real;Carrizosa;1212;619;593;1,550;1466;1331;13775;12582
Ciudad Real;Castellar de Santiago;1897;962;935;2,214;2223;2055;0;0
Ciudad Real;Chillón;1816;877;939;2,166;2030;1937;161;1434
Ciudad Real;Ciudad Real;74746;35401;39345;69,063;74345;74427;0;0
Ciudad Real;Corral de Calatrava;1123;545;578;1,275;1221;1135;0;0
Ciudad Real;Cortijos, Los;884;468;416;0;0;961;0;0
Ciudad Real;Cózar;969;482;487;1,350;1238;1092;15638;13855
Ciudad Real;Daimiel;17929;8970;8959;17,721;18656;18577;19212;16379
Ciudad Real;Fernán Caballero;1001;506;495;1,129;1148;1069;0;0
Ciudad Real;Fontanarejo;275;152;123;305;307;281;0;0
Ciudad Real;Fuencaliente;1036;538;498;1,232;1126;1082;14455;12963
Ciudad Real;Fuenllana;217;111;106;290;301;261;0;0
Ciudad Real;Fuente el Fresno;3220;1658;1562;3,481;3622;3365;0;0
Ciudad Real;Granátula de Calatrava;714;346;368;1,018;926;819;0;0
Ciudad Real;Guadalmez;725;350;375;946;866;813;0;0
Ciudad Real;Herencia;8390;4277;4113;8,020;9215;8758;1603;14035
Ciudad Real;Hinojosas de Calatrava;536;274;262;679;568;499;0;0
Ciudad Real;Horcajo de los Montes;883;444;439;1,005;1022;959;0;0
Ciudad Real;Labores, Las;569;282;287;0;0;617;0;0
Ciudad Real;Llanos del Caudillo;719;354;365;667;724;739;0;0
Ciudad Real;Luciana;366;196;170;445;419;398;0;0
Ciudad Real;Malagón;7998;3939;4059;8,021;8731;8280;16263;14241
Ciudad Real;Manzanares;17997;8919;9078;18,525;19242;18642;25096;20742
Ciudad Real;Membrilla;6005;3009;2996;6,500;6362;6168;18178;15616
Ciudad Real;Mestanza;667;337;330;823;796;724;0;0
Ciudad Real;Miguelturra;15368;7742;7626;11,737;14312;15032;2282;18947
Ciudad Real;Montiel;1315;689;626;1,700;1570;1450;1388;12476
Ciudad Real;Moral de Calatrava;5271;2672;2599;5,306;5701;5429;0;0
Ciudad Real;Navalpino;228;118;110;278;268;235;0;0
Ciudad Real;Navas de Estena;298;161;137;395;355;265;0;0
Ciudad Real;Pedro Muñoz;7293;3650;3643;7,970;8684;7714;0;0
Ciudad Real;Picón;658;338;320;669;695;698;0;0
Ciudad Real;Piedrabuena;4395;2239;2156;4,879;4809;4624;16792;14499
Ciudad Real;Poblete;2626;1347;1279;1,007;1850;2334;27341;22176
Ciudad Real;Porzuna;3532;1810;1722;3,974;4065;3742;15791;14007
Ciudad Real;Pozuelo de Calatrava;3553;1816;1737;2,741;3064;3371;0;0
Ciudad Real;Pozuelos de Calatrava, Los;372;193;179;0;0;430;0;0
Ciudad Real;Puebla de Don Rodrigo;1178;650;528;1,287;1253;1220;0;0
Ciudad Real;Puebla del Príncipe;694;359;335;941;853;756;0;0
Ciudad Real;Puerto Lápice;924;460;464;1,002;1022;955;0;0
Ciudad Real;Puertollano;47035;22753;24282;50,082;52300;50035;1423;12851
Ciudad Real;Retuerta del Bullaque;941;520;421;1,084;1173;1019;0;0
Ciudad Real;Robledo, El;1081;568;513;0;0;1228;0;0
Ciudad Real;Ruidera;553;272;281;598;588;608;0;0
Ciudad Real;Saceruela;559;297;262;694;652;617;0;0
Ciudad Real;San Carlos del Valle;1120;574;546;1,208;1201;1184;0;0
Ciudad Real;San Lorenzo de Calatrava;213;117;96;283;266;231;0;0
Ciudad Real;Santa Cruz de los Cáñamos;522;250;272;635;593;546;0;0
Ciudad Real;Santa Cruz de Mudela;4107;2034;2073;4,789;4614;4330;0;0
Ciudad Real;Socuéllamos;12139;6103;6036;12,850;13651;12721;17274;14999
Ciudad Real;Solana del Pino;324;171;153;426;414;353;0;0
Ciudad Real;Solana, La;15479;7832;7647;0;0;15979;0;0
Ciudad Real;Terrinches;678;346;332;1,007;925;782;0;0
Ciudad Real;Tomelloso;35873;17745;18128;33,548;38641;37645;21084;17795
Ciudad Real;Torralba de Calatrava;2977;1495;1482;2,952;3104;3107;0;0
Ciudad Real;Torre de Juan Abad;995;483;512;1,359;1240;1108;0;0
Ciudad Real;Torrenueva;2702;1357;1345;3,066;2991;2911;1403;12687
Ciudad Real;Valdemanco del Esteras;170;90;80;271;241;210;0;0
Ciudad Real;Valdepeñas;30077;14644;15433;27,634;31370;30514;22086;1852
Ciudad Real;Valenzuela de Calatrava;688;321;367;798;782;706;0;0
Ciudad Real;Villahermosa;1826;891;935;2,392;2202;2014;14169;12969
Ciudad Real;Villamanrique;1148;560;588;1,521;1383;1286;13306;12046
Ciudad Real;Villamayor de Calatrava;634;313;321;603;618;673;0;0
Ciudad Real;Villanueva de la Fuente;2078;1062;1016;2,600;2490;2288;0;0
Ciudad Real;Villanueva de los Infantes;4935;2446;2489;5,894;5772;5373;0;0
Ciudad Real;Villanueva de San Carlos;290;155;135;414;373;308;0;0
Ciudad Real;Villar del Pozo;75;41;34;115;103;99;0;0
Ciudad Real;Villarrubia de los Ojos;9814;4878;4936;10,125;11119;10494;0;0
Ciudad Real;Villarta de San Juan;2791;1410;1381;3,047;3061;2953;0;0
Ciudad Real;Viso del Marqués;2298;1109;1189;2,940;2804;2524;0;0
Córdoba;Adamuz;4192;2157;2035;4,443;4414;4317;13122;11817
Córdoba;Aguilar de la Frontera;13328;6678;6650;13,589;13693;13551;0;0
Córdoba;Alcaracejos;1486;723;763;1,472;1548;1523;14938;13091
Córdoba;Almedinilla;2391;1191;1200;2,534;2524;2455;13221;12043
Córdoba;Almodóvar del Río;7937;3963;3974;7,420;7916;7961;0;0
Córdoba;Añora;1527;752;775;1,531;1540;1563;16352;14147
Córdoba;Baena;19284;9829;9455;20,447;20862;19802;16178;1404
Córdoba;Belalcázar;3255;1572;1683;3,576;3458;3437;14181;12646
Córdoba;Belmez;2923;1418;1505;3,440;3207;3119;1916;16212
Córdoba;Benamejí;4966;2478;2488;5,030;5184;5060;14418;12704
Córdoba;Blázquez, Los;661;338;323;0;0;703;0;0
Córdoba;Bujalance;7417;3691;3726;7,870;7910;7693;14512;12785
Córdoba;Cabra;20341;9905;10436;20,940;21266;20837;19255;16288
Córdoba;Cañete de las Torres;2933;1512;1421;3,210;3133;3010;0;0
Córdoba;Carcabuey;2412;1226;1186;2,825;2685;2595;14315;12648
Córdoba;Cardeña;1490;740;750;1,761;1732;1604;1337;11969
Córdoba;Carlota, La;14061;7033;7028;0;0;13929;0;0
Córdoba;Carpio, El;4383;2166;2217;0;0;4496;0;0
Córdoba;Castro del Río;7809;3869;3940;8,088;8095;7972;0;0
Córdoba;Conquista;379;186;193;483;470;438;0;0
Córdoba;Córdoba;325701;156355;169346;321,164;328547;327362;12265;11155
Córdoba;Doña Mencía;4638;2249;2389;5,003;5029;4882;0;0
Córdoba;Dos Torres;2411;1202;1209;2,616;2563;2457;0;0
Córdoba;Encinas Reales;2254;1115;1139;2,415;2419;2343;0;0
Córdoba;Espejo;3329;1671;1658;3,797;3622;3443;14138;12697
Córdoba;Espiel;2397;1207;1190;2,386;2484;2508;21351;17791
Córdoba;Fernán-Núñez;9663;4840;4823;9,438;9736;9713;0;0
Córdoba;Fuente Carreteros;1131;578;553;0;0;0;0;0
Córdoba;Fuente la Lancha;351;182;169;418;374;377;0;0
Córdoba;Fuente Obejuna;4604;2374;2230;5,434;5225;4894;0;0
Córdoba;Fuente Palmera;9783;4886;4897;10,220;10865;10895;0;0
Córdoba;Fuente-Tójar;672;325;347;807;772;721;0;0
Córdoba;Granjuela, La;461;236;225;0;0;482;0;0
Córdoba;Guadalcázar;1583;794;789;1,258;1593;1566;15107;13274
Córdoba;Guijarrosa, La;1399;714;685;0;0;0;0;0
Córdoba;Guijo, El;355;185;170;0;0;372;0;0
Córdoba;Hinojosa del Duque;6788;3328;3460;7,595;7366;7054;0;0
Córdoba;Hornachuelos;4497;2239;2258;4,678;4696;4642;14604;1283
Córdoba;Iznájar;4261;2133;2128;4,960;4714;4556;13198;11842
Córdoba;Lucena;42605;21251;21354;39,783;42308;42697;17696;1516
Córdoba;Luque;2994;1503;1491;3,311;3379;3127;14282;12753
Córdoba;Montalbán de Córdoba;4489;2219;2270;4,602;4542;4519;0;0
Córdoba;Montemayor;3855;1938;1917;3,890;4114;3950;14863;13193
Córdoba;Montilla;22859;11353;11506;23,391;23907;23519;18465;1586
Córdoba;Montoro;9364;4616;4748;9,583;9915;9640;14873;13179
Córdoba;Monturque;1958;967;991;2,007;2009;2007;13785;12289
Córdoba;Moriles;3717;1866;1851;3,874;3950;3848;1333;12131
Córdoba;Nueva Carteya;5379;2732;2647;5,581;5679;5470;0;0
Córdoba;Obejo;2011;1048;963;1,502;1876;2027;17881;15372
Córdoba;Palenciana;1478;748;730;1,579;1607;1545;14919;13147
Córdoba;Palma del Río;21064;10456;10608;20,403;21605;21522;0;0
Córdoba;Pedro Abad;2837;1435;1402;2,892;2983;2927;0;0
Córdoba;Pedroche;1516;738;778;1,699;1660;1624;13903;1241
Córdoba;Peñarroya-Pueblonuevo;10695;5180;5515;12,171;11814;11300;0;0
Córdoba;Posadas;7325;3635;3690;7,316;7590;7544;16587;14505
Córdoba;Pozoblanco;17210;8371;8839;16,996;17796;17380;23774;19557
Córdoba;Priego de Córdoba;22408;10929;11479;23,151;23563;22936;0;0
Córdoba;Puente Genil;30048;14938;15110;28,543;30245;30167;0;0
Córdoba;Rambla, La;7493;3713;3780;0;0;7547;0;0
Córdoba;Rute;9845;4892;4953;10,143;10563;10269;16092;14029
Córdoba;San Sebastián de los Ballesteros;808;406;402;840;832;816;0;0
Córdoba;Santa Eufemia;755;383;372;1,021;960;859;0;0
Córdoba;Santaella;4629;2327;2302;5,976;6182;6062;14026;12608
Córdoba;Torrecampo;1059;519;540;1,355;1291;1177;15075;13269
Córdoba;Valenzuela;1131;562;569;1,366;1317;1241;13674;12261
Córdoba;Valsequillo;356;168;188;425;401;379;0;0
Córdoba;Victoria, La;2271;1131;1140;0;0;2375;0;0
Córdoba;Villa del Río;7104;3527;3577;7,432;7451;7403;0;0
Córdoba;Villafranca de Córdoba;4871;2486;2385;3,893;4660;4889;0;0
Córdoba;Villaharta;619;301;318;637;762;703;0;0
Córdoba;Villanueva de Córdoba;8729;4331;4398;9,719;9599;9141;0;0
Córdoba;Villanueva del Duque;1461;743;718;1,694;1618;1553;0;0
Córdoba;Villanueva del Rey;1046;513;533;1,223;1206;1096;0;0
Córdoba;Villaralto;1131;569;562;1,385;1315;1238;13454;12042
Córdoba;Villaviciosa de Córdoba;3229;1663;1566;3,657;3556;3443;0;0
Córdoba;Viso, El;2536;1265;1271;0;0;2651;0;0
Córdoba;Zuheros;641;328;313;835;767;688;0;0
Coruña, A;Abegondo;5406;2655;2751;5,756;5765;5586;19593;16514
Coruña, A;Ames;31793;15236;16557;22,228;27900;30267;2467;20464
Coruña, A;Aranga;1849;964;885;2,264;2126;1997;15033;13139
Coruña, A;Ares;5732;2825;2907;5,301;5705;5743;2416;19704
Coruña, A;Arteixo;32262;15976;16286;26,272;30255;30950;2114;17598
Coruña, A;Arzúa;6041;3012;3029;6,602;6409;6219;17039;14662
Coruña, A;Baña, A;3450;1628;1822;0;0;3698;0;0
Coruña, A;Bergondo;6633;3232;3401;6,495;6758;6700;2944;23591
Coruña, A;Betanzos;12959;6155;6804;13,059;13673;13202;21779;1837
Coruña, A;Boimorto;1985;1003;982;2,461;2271;2125;14449;12931
Coruña, A;Boiro;18838;9177;9661;18,469;19076;18950;17169;14818
Coruña, A;Boqueixón;4220;2091;2129;4,378;4444;4321;18697;15767
Coruña, A;Brión;7837;3773;4064;6,849;7347;7564;2364;19674
Coruña, A;Cabana de Bergantiños;4248;2054;2194;5,294;4909;4552;0;0
Coruña, A;Cabanas;3281;1606;1675;3,368;3375;3299;26668;21554
Coruña, A;Camariñas;5272;2577;2695;6,467;6226;5577;14773;13076
Coruña, A;Cambre;24648;12024;12624;21,523;23621;24076;24086;19709
Coruña, A;Capela, A;1232;612;620;0;0;1334;0;0
Coruña, A;Carballo;31349;15342;16007;29,689;31149;31283;18117;1548
Coruña, A;Cariño;3838;1901;1937;4,788;4530;4167;16605;14414
Coruña, A;Carnota;3957;1871;2086;5,244;4904;4284;16336;14243
Coruña, A;Carral;6408;3151;3257;5,527;5945;6180;20121;16955
Coruña, A;Cedeira;6640;3292;3348;7,429;7412;7062;18777;15932
Coruña, A;Cee;7546;3605;3941;7,467;7818;7723;20142;16834
Coruña, A;Cerceda;5001;2457;2544;5,500;5486;5076;18927;16017
Coruña, A;Cerdido;1113;547;566;1,522;1361;1233;15615;13919
Coruña, A;Coirós;1824;906;918;1,654;1722;1757;19186;16104
Coruña, A;Corcubión;1589;769;820;1,927;1803;1655;21214;17914
Coruña, A;Coristanco;6074;2895;3179;7,646;7165;6551;15271;13429
Coruña, A;Coruña, A;245711;113900;131811;0;0;243870;0;0
Coruña, A;Culleredo;30402;14685;15717;25,650;28737;29593;24346;19929
Coruña, A;Curtis;3983;1981;2002;4,369;4228;4015;1776;15313
Coruña, A;Dodro;2768;1344;1424;3,122;3017;2882;1664;14489
Coruña, A;Dumbría;2983;1434;1549;4,067;3705;3077;17085;14742
Coruña, A;Fene;12944;6170;6774;14,355;14092;13385;24145;19663
Coruña, A;Ferrol;66065;31027;35038;77,155;73638;69452;26219;21197
Coruña, A;Fisterra;4708;2380;2328;5,042;4995;4775;15931;13907
Coruña, A;Frades;2339;1162;1177;2,871;2648;2460;1525;13386
Coruña, A;Irixoa;1334;663;671;1,579;1501;1389;16242;14268
Coruña, A;Laracha, A;11347;5591;5756;0;0;11402;0;0
Coruña, A;Laxe;3016;1515;1501;3,539;3417;3185;15427;13525
Coruña, A;Lousame;3338;1647;1691;3,854;3699;3463;15412;13607
Coruña, A;Malpica de Bergantiños;5391;2631;2760;6,786;6178;5666;0;0
Coruña, A;Mañón;1356;665;691;1,803;1602;1454;15845;1402
Coruña, A;Mazaricos;3885;1855;2030;5,488;4854;4173;14554;12872
Coruña, A;Melide;7406;3654;3752;7,866;7838;7538;17069;14768
Coruña, A;Mesía;2530;1260;1270;3,174;2918;2734;15788;13829
Coruña, A;Miño;6200;3082;3118;5,127;5628;5859;25469;20515
Coruña, A;Moeche;1226;586;640;1,469;1401;1246;15943;1388
Coruña, A;Monfero;1932;994;938;2,444;2239;2037;14954;13388
Coruña, A;Mugardos;5245;2541;2704;5,628;5536;5362;22746;18751
Coruña, A;Muros;8556;4123;4433;9,995;9704;8960;17911;15216
Coruña, A;Muxía;4657;2260;2397;5,823;5423;5025;14909;13189
Coruña, A;Narón;39080;18904;20176;35,083;38285;39565;22686;18605
Coruña, A;Neda;5079;2464;2615;5,771;5489;5261;21292;17762
Coruña, A;Negreira;6827;3302;3525;6,519;7029;6936;16751;14546
Coruña, A;Noia;14263;6839;7424;14,637;14947;14472;19307;16448
Coruña, A;Oleiros;36075;17381;18694;30,467;33550;34693;13598;12286
Coruña, A;Ordes;12674;6190;6484;12,272;12868;12776;18187;15644
Coruña, A;Oroso;7500;3708;3792;6,345;7050;7413;20967;17842
Coruña, A;Ortigueira;5671;2708;2963;7,697;6871;6136;16827;14519
Coruña, A;Outes;6282;3018;3264;7,889;7313;6691;15526;137
Coruña, A;Oza-Cesuras;5101;2562;2539;0;0;5253;0;0
Coruña, A;Paderne;2394;1173;1221;2,715;2653;2467;1961;16579
Coruña, A;Padrón;8384;4030;4354;9,035;8985;8643;18819;16152
Coruña, A;Pino, O;4641;2333;2308;0;0;4706;0;0
Coruña, A;Pobra do Caramiñal, A;9338;4563;4775;0;0;9623;0;0
Coruña, A;Ponteceso;5502;2756;2746;6,698;6215;5789;16618;14469
Coruña, A;Pontedeume;7777;3711;4066;8,663;8370;8011;22892;19185
Coruña, A;Pontes de García Rodríguez, As;10138;4934;5204;0;0;10503;0;0
Coruña, A;Porto do Son;9171;4562;4609;9,990;9873;9436;0;0
Coruña, A;Rianxo;11033;5395;5638;11,528;11826;11386;16485;14437
Coruña, A;Ribeira;26886;13263;13623;26,884;27504;27372;21313;17665
Coruña, A;Rois;4512;2144;2368;5,149;4936;4710;17264;14952
Coruña, A;Sada;15841;7741;8100;12,867;14734;15080;25707;21011
Coruña, A;San Sadurniño;2822;1396;1426;3,179;3098;3009;0;0
Coruña, A;Santa Comba;9426;4553;4873;10,683;10408;9635;0;0
Coruña, A;Santiago de Compostela;97260;45179;52081;92,919;94824;95612;0;0
Coruña, A;Santiso;1584;816;768;2,160;1930;1709;1447;12897
Coruña, A;Sobrado;1758;909;849;2,316;2139;1911;14309;1266
Coruña, A;Somozas, As;1098;550;548;0;0;1191;0;0
Coruña, A;Teo;18579;9127;9452;16,809;17940;18505;26386;21275
Coruña, A;Toques;1124;584;540;1,512;1387;1213;13911;12406
Coruña, A;Tordoia;3299;1558;1741;4,617;4268;3591;1515;13273
Coruña, A;Touro;3574;1780;1794;4,532;4151;3778;15533;13597
Coruña, A;Trazo;3113;1538;1575;3,617;3496;3263;16033;13936
Coruña, A;Val do Dubra;3876;1854;2022;4,605;4386;4033;0;0
Coruña, A;Valdoviño;6563;3181;3382;6,888;6982;6753;21667;18242
Coruña, A;Vedra;5036;2475;2561;5,054;5052;5059;18903;16112
Coruña, A;Vilarmaior;1226;627;599;1,343;1277;1233;19508;16532
Coruña, A;Vilasantar;1213;642;571;1,538;1406;1280;14534;12927
Coruña, A;Vimianzo;7057;3380;3677;8,466;8128;7520;1542;13492
Coruña, A;Zas;4472;2154;2318;5,780;5295;4846;14473;12884
Cuenca;Abia de la Obispalía;65;40;25;84;73;77;0;0
Cuenca;Acebrón, El;234;115;119;0;0;241;0;0
Cuenca;Alarcón;148;67;81;176;177;148;0;0
Cuenca;Albaladejo del Cuende;245;127;118;383;336;292;0;0
Cuenca;Albalate de las Nogueras;253;132;121;345;302;272;0;0
Cuenca;Albendea;121;57;64;170;164;134;0;0
Cuenca;Alberca de Záncara, La;1590;807;783;0;0;1723;0;0
Cuenca;Alcalá de la Vega;93;55;38;159;139;105;0;0
Cuenca;Alcantud;51;28;23;98;89;72;0;0
Cuenca;Alcázar del Rey;152;78;74;227;208;172;0;0
Cuenca;Alcohujate;28;15;13;53;41;32;0;0
Cuenca;Alconchel de la Estrella;88;51;37;168;137;111;0;0
Cuenca;Algarra;26;13;13;33;24;32;0;0
Cuenca;Aliaguilla;642;331;311;841;782;698;0;0
Cuenca;Almarcha, La;365;201;164;0;0;415;0;0
Cuenca;Almendros;247;139;108;303;295;272;0;0
Cuenca;Almodóvar del Pinar;390;216;174;505;465;447;0;0
Cuenca;Almonacid del Marquesado;425;218;207;535;486;458;0;0
Cuenca;Altarejos;190;101;89;299;248;229;0;0
Cuenca;Arandilla del Arroyo;7;3;4;35;25;16;0;0
Cuenca;Arcas;1716;866;850;0;0;1605;11628;1079
Cuenca;Arcos de la Sierra;83;47;36;111;107;88;0;0
Cuenca;Arguisuelas;136;74;62;166;157;146;0;0
Cuenca;Arrancacepas;25;13;12;39;33;26;0;0
Cuenca;Atalaya del Cañavate;112;58;54;113;115;116;0;0
Cuenca;Barajas de Melo;932;491;441;818;1065;935;0;0
Cuenca;Barchín del Hoyo;89;57;32;119;88;90;0;0
Cuenca;Bascuñana de San Pedro;18;15;3;34;27;20;0;0
Cuenca;Beamud;37;18;19;93;72;49;0;0
Cuenca;Belinchón;334;173;161;356;363;356;0;0
Cuenca;Belmonte;1903;954;949;2,278;2234;2019;16691;14492
Cuenca;Belmontejo;160;92;68;218;208;196;0;0
Cuenca;Beteta;262;125;137;401;327;293;0;0
Cuenca;Boniches;146;71;75;164;151;151;0;0
Cuenca;Buciegas;36;25;11;63;54;46;0;0
Cuenca;Buenache de Alarcón;459;239;220;641;639;499;0;0
Cuenca;Buenache de la Sierra;97;56;41;106;111;106;0;0
Cuenca;Buendía;400;213;187;505;485;425;0;0
Cuenca;Campillo de Altobuey;1322;655;667;1,710;1576;1481;0;0
Cuenca;Campillos-Paravientos;105;60;45;130;127;117;0;0
Cuenca;Campillos-Sierra;38;17;21;77;61;36;0;0
Cuenca;Campos del Paraíso;737;374;363;1,013;964;845;0;0
Cuenca;Canalejas del Arroyo;186;102;84;387;323;289;0;0
Cuenca;Cañada del Hoyo;243;125;118;318;313;280;0;0
Cuenca;Cañada Juncosa;240;130;110;330;303;272;0;0
Cuenca;Cañamares;466;254;212;598;549;500;0;0
Cuenca;Cañavate, El;146;73;73;0;0;165;0;0
Cuenca;Cañaveras;258;127;131;411;368;325;0;0
Cuenca;Cañaveruelas;132;67;65;189;181;151;0;0
Cuenca;Cañete;739;377;362;910;960;802;0;0
Cuenca;Cañizares;439;240;199;568;549;505;0;0
Cuenca;Carboneras de Guadazaón;811;417;394;937;835;810;0;0
Cuenca;Cardenete;496;267;229;691;623;533;0;0
Cuenca;Carrascosa;70;42;28;114;107;89;0;0
Cuenca;Carrascosa de Haro;106;56;50;137;132;122;0;0
Cuenca;Casas de Benítez;852;424;428;1,090;1055;918;0;0
Cuenca;Casas de Fernando Alonso;1169;608;561;1,321;1503;1311;0;0
Cuenca;Casas de Garcimolina;29;19;10;31;32;28;0;0
Cuenca;Casas de Guijarro;117;63;54;130;153;116;0;0
Cuenca;Casas de Haro;823;437;386;882;888;873;0;0
Cuenca;Casas de los Pinos;440;218;222;520;531;464;0;0
Cuenca;Casasimarro;3084;1590;1494;3,049;3361;3144;14927;13287
Cuenca;Castejón;144;79;65;221;200;158;0;0
Cuenca;Castillejo de Iniesta;159;85;74;224;184;189;0;0
Cuenca;Castillejo-Sierra;28;15;13;49;36;33;0;0
Cuenca;Castillo de Garcimuñoz;134;78;56;195;179;157;0;0
Cuenca;Castillo-Albaráñez;22;10;12;24;22;21;0;0
Cuenca;Cervera del Llano;221;116;105;288;271;231;0;0
Cuenca;Chillarón de Cuenca;617;322;295;428;547;567;0;0
Cuenca;Chumillas;57;32;25;68;68;54;0;0
Cuenca;Cierva, La;28;16;12;0;0;44;0;0
Cuenca;Cuenca;54690;26049;28641;49,912;56189;55428;12479;11509
Cuenca;Cueva del Hierro;29;21;8;53;41;35;0;0
Cuenca;Enguídanos;317;167;150;468;426;345;0;0
Cuenca;Fresneda de Altarejos;40;20;20;84;67;54;0;0
Cuenca;Fresneda de la Sierra;48;28;20;68;57;54;0;0
Cuenca;Frontera, La;155;82;73;0;0;170;0;0
Cuenca;Fuente de Pedro Naharro;1205;624;581;1,285;1330;1248;0;0
Cuenca;Fuentelespino de Haro;274;142;132;299;282;280;0;0
Cuenca;Fuentelespino de Moya;109;60;49;162;148;125;0;0
Cuenca;Fuentenava de Jábaga;513;268;245;474;556;568;0;0
Cuenca;Fuentes;455;241;214;508;514;465;0;0
Cuenca;Fuertescusa;63;35;28;112;88;75;0;0
Cuenca;Gabaldón;183;111;72;197;201;188;0;0
Cuenca;Garaballa;59;33;26;128;110;72;0;0
Cuenca;Gascueña;153;86;67;142;188;176;0;0
Cuenca;Graja de Campalbo;91;50;41;125;120;101;0;0
Cuenca;Graja de Iniesta;361;185;176;435;461;370;0;0
Cuenca;Henarejos;139;73;66;240;207;169;0;0
Cuenca;Herrumblar, El;664;338;326;0;0;717;0;0
Cuenca;Hinojosa, La;188;96;92;0;0;214;0;0
Cuenca;Hinojosos, Los;771;380;391;0;0;884;0;0
Cuenca;Hito, El;141;77;64;0;0;173;0;0
Cuenca;Honrubia;1566;786;780;1,658;1761;1650;16539;14378
Cuenca;Hontanaya;253;143;110;405;373;319;0;0
Cuenca;Hontecillas;61;33;28;94;77;58;0;0
Cuenca;Horcajo de Santiago;3493;1770;1723;3,740;4162;3689;0;0
Cuenca;Huélamo;99;55;44;126;122;106;0;0
Cuenca;Huelves;57;30;27;63;78;53;0;0
Cuenca;Huérguina;44;24;20;91;60;56;0;0
Cuenca;Huerta de la Obispalía;114;67;47;142;127;133;0;0
Cuenca;Huerta del Marquesado;194;108;86;222;217;210;0;0
Cuenca;Huete;1765;913;852;2,024;2034;1862;20204;17051
Cuenca;Iniesta;4305;2129;2176;4,577;4694;4382;16812;14743
Cuenca;Laguna del Marquesado;50;28;22;72;68;48;0;0
Cuenca;Lagunaseca;77;45;32;117;87;94;0;0
Cuenca;Landete;1234;633;601;1,381;1376;1310;16957;14826
Cuenca;Ledaña;1563;772;791;1,937;1931;1662;14199;1272
Cuenca;Leganiel;190;98;92;242;224;189;0;0
Cuenca;Majadas, Las;241;126;115;0;0;284;0;0
Cuenca;Mariana;304;157;147;307;282;320;0;0
Cuenca;Masegosa;64;37;27;119;101;79;0;0
Cuenca;Mesas, Las;2336;1188;1148;0;0;2388;0;0
Cuenca;Minglanilla;2221;1137;1084;2,385;2669;2367;14838;13289
Cuenca;Mira;905;462;443;1,169;847;987;0;0
Cuenca;Monreal del Llano;56;31;25;71;79;73;0;0
Cuenca;Montalbanejo;103;54;49;159;139;118;0;0
Cuenca;Montalbo;643;337;306;703;754;687;0;0
Cuenca;Monteagudo de las Salinas;129;75;54;153;159;144;0;0
Cuenca;Mota de Altarejos;34;22;12;55;44;31;0;0
Cuenca;Mota del Cuervo;5990;2993;2997;6,003;6304;6172;0;0
Cuenca;Motilla del Palancar;5869;2908;2961;5,551;6195;5896;0;0
Cuenca;Moya;139;84;55;241;194;171;19416;16496
Cuenca;Narboneta;37;19;18;93;55;56;0;0
Cuenca;Olivares de Júcar;325;169;156;502;410;345;0;0
Cuenca;Olmeda de la Cuesta;20;11;9;41;37;28;0;0
Cuenca;Olmeda del Rey;132;67;65;213;168;135;0;0
Cuenca;Olmedilla de Alarcón;149;85;64;143;154;158;0;0
Cuenca;Olmedilla de Eliz;15;10;5;25;23;19;0;0
Cuenca;Osa de la Vega;479;249;230;650;616;544;0;0
Cuenca;Pajarón;82;39;43;118;95;84;0;0
Cuenca;Pajaroncillo;65;40;25;88;84;76;0;0
Cuenca;Palomares del Campo;602;308;294;907;789;680;0;0
Cuenca;Palomera;171;85;86;178;194;186;0;0
Cuenca;Paracuellos;94;50;44;158;132;102;0;0
Cuenca;Paredes;66;37;29;94;90;65;0;0
Cuenca;Parra de las Vegas, La;33;23;10;0;0;44;0;0
Cuenca;Pedernoso, El;1124;561;563;0;0;1189;0;0
Cuenca;Pedroñeras, Las;6638;3406;3232;0;0;6816;0;0
Cuenca;Peral, El;632;353;279;0;0;693;0;0
Cuenca;Peraleja, La;97;60;37;0;0;109;0;0
Cuenca;Pesquera, La;215;119;96;0;0;248;0;0
Cuenca;Picazo, El;666;336;330;0;0;710;0;0
Cuenca;Pinarejo;212;109;103;356;306;238;0;0
Cuenca;Pineda de Gigüela;60;37;23;123;85;69;0;0
Cuenca;Piqueras del Castillo;48;27;21;79;73;57;0;0
Cuenca;Portalrubio de Guadamejud;22;10;12;62;40;30;0;0
Cuenca;Portilla;59;32;27;92;81;74;0;0
Cuenca;Poyatos;56;29;27;95;93;67;0;0
Cuenca;Pozoamargo;292;154;138;348;382;311;0;0
Cuenca;Pozorrubielos de la Mancha;180;92;88;310;334;211;0;0
Cuenca;Pozorrubio de Santiago;323;155;168;0;0;345;0;0
Cuenca;Pozuelo, El;49;31;18;0;0;62;0;0
Cuenca;Priego;896;455;441;1,087;1124;1014;23361;1932
Cuenca;Provencio, El;2437;1200;1237;0;0;2526;0;0
Cuenca;Puebla de Almenara;384;199;185;487;456;416;0;0
Cuenca;Puebla del Salvador;181;100;81;275;265;211;0;0
Cuenca;Quintanar del Rey;7586;3901;3685;7,359;7910;7576;0;0
Cuenca;Rada de Haro;44;23;21;61;63;53;0;0
Cuenca;Reíllo;118;62;56;130;116;89;0;0
Cuenca;Rozalén del Monte;67;31;36;89;70;75;0;0
