;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Alicante/Alacant;Alfafara;410;202;208;430;419;406;0;0
Alicante/Alacant;Alfàs del Pi, l';20482;10187;10295;0;0;21700;0;0
Alicante/Alacant;Algorfa;2935;1461;1474;2,297;4537;3693;14639;13048
Alicante/Alacant;Algueña;1336;668;668;1,501;1530;1413;18831;15909
Alicante/Alacant;Alicante/Alacant;334887;162191;172696;319,380;334418;328648;16461;14509
Alicante/Alacant;Almoradí;20803;10510;10293;16,547;19598;19955;17671;15194
Alicante/Alacant;Almudaina;113;57;56;116;132;114;0;0
Alicante/Alacant;Alqueria d'Asnar, l';493;238;255;0;0;522;0;0
Alicante/Alacant;Altea;22290;10911;11379;21,154;24006;22385;2159;1794
Alicante/Alacant;Aspe;20714;10435;10279;18,203;20360;20406;17326;14769
Alicante/Alacant;Atzúbia, l';632;325;307;0;0;0;0;0
Alicante/Alacant;Balones;131;73;58;169;156;133;0;0
Alicante/Alacant;Banyeres de Mariola;7068;3538;3530;7,282;7229;7155;0;0
Alicante/Alacant;Benasau;151;74;77;222;171;155;0;0
Alicante/Alacant;Beneixama;1685;852;833;1,886;1820;1746;17565;15065
Alicante/Alacant;Benejúzar;5402;2699;2703;5,249;5474;5398;15938;13879
Alicante/Alacant;Benferri;1942;1001;941;1,385;1892;1899;17864;15245
Alicante/Alacant;Beniarbeig;2092;1061;1031;1,548;1888;1926;17803;15269
Alicante/Alacant;Beniardá;232;106;126;235;230;227;0;0
Alicante/Alacant;Beniarrés;1118;571;547;1,380;1317;1208;15122;13243
Alicante/Alacant;Benidoleig;1095;545;550;1,044;1261;1196;1732;14929
Alicante/Alacant;Benidorm;68721;34250;34471;67,492;71198;69045;20709;17335
Alicante/Alacant;Benifallim;105;60;45;124;114;114;0;0
Alicante/Alacant;Benifato;140;73;67;165;199;156;0;0
Alicante/Alacant;Benigembla;490;253;237;559;580;490;0;0
Alicante/Alacant;Benijófar;3322;1615;1707;3,380;4004;3655;15836;13705
Alicante/Alacant;Benilloba;724;377;347;874;821;786;0;0
Alicante/Alacant;Benillup;97;47;50;102;98;101;0;0
Alicante/Alacant;Benimantell;483;242;241;487;514;501;0;0
Alicante/Alacant;Benimarfull;409;207;202;441;414;433;0;0
Alicante/Alacant;Benimassot;106;59;47;140;129;111;0;0
Alicante/Alacant;Benimeli;418;187;231;363;413;416;0;0
Alicante/Alacant;Benissa;11005;5415;5590;11,935;13369;11598;19319;16371
Alicante/Alacant;Benitachell/Poble Nou de Benitatxell, el;4276;2106;2170;0;0;4690;0;0
Alicante/Alacant;Biar;3671;1799;1872;3,620;3703;3657;19053;16149
Alicante/Alacant;Bigastro;6733;3382;3351;5,962;6757;6714;1634;14167
Alicante/Alacant;Bolulla;420;220;200;392;423;426;0;0
Alicante/Alacant;Busot;2978;1516;1462;2,421;3257;3075;19756;16685
Alicante/Alacant;Callosa de Segura;19038;9714;9324;16,866;18008;18200;0;0
Alicante/Alacant;Callosa d'en Sarrià;7373;3762;3611;8,179;7888;7133;0;0
Alicante/Alacant;Calp;22725;11480;11245;0;29909;21540;20237;16982
Alicante/Alacant;Campello, el;28349;13796;14553;0;0;27356;0;0
Alicante/Alacant;Campo de Mirra/Camp de Mirra, el;415;211;204;0;0;445;0;0
Alicante/Alacant;Cañada;1220;606;614;1,198;1238;1229;17911;15306
Alicante/Alacant;Castalla;10124;5149;4975;8,977;10513;9994;1832;15646
Alicante/Alacant;Castell de Castells;449;236;213;482;493;431;0;0
Alicante/Alacant;Castell de Guadalest, el;217;111;106;0;0;224;0;0
Alicante/Alacant;Catral;8639;4307;4332;6,642;8926;8690;15711;13646
Alicante/Alacant;Cocentaina;11511;5868;5643;10,992;11534;11406;2026;17123
Alicante/Alacant;Confrides;187;106;81;286;276;208;0;0
Alicante/Alacant;Cox;7297;3722;3575;6,477;6957;7229;17193;14822
Alicante/Alacant;Crevillent;28952;14627;14325;27,323;28738;28465;17283;1484
Alicante/Alacant;Daya Nueva;1737;852;885;1,562;1938;1732;0;0
Alicante/Alacant;Daya Vieja;690;354;336;336;696;668;0;0
Alicante/Alacant;Dénia;42166;20419;21747;40,601;44498;41553;25876;20986
Alicante/Alacant;Dolores;7470;3740;3730;7,095;7392;7246;1542;1342
